,album,artists,duration_ms,id,name,popularity,artist_id,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
10,"{'album_type': 'album', 'name': 'Firewater', 'release_date': '2011-04-26', 'total_tracks': 12, 'uri': 'spotify:album:5YrOTxB5pmtK6uD4qcpAw5'}",Whiskey Myers,220186,6P7kZB7hSJFyaYJcu3cYQJ,Ballad Of A Southern Man,70,26opZSJcXshCmCwxgZQmBc,"['classic texas country', 'modern southern rock']",0.605,0.53,0.0261,0.432,0.0,0.38,73.986
11,"{'album_type': 'album', 'name': 'The SteelDrivers', 'release_date': '2008-01-15', 'total_tracks': 11, 'uri': 'spotify:album:4OIcFaouZZHOK6HDQNPRYV'}",The Steeldrivers,209413,5RQsNib1m9Hxo2AIjJcdpK,Blue Side Of The Mountain,67,3bLSAQPeix7Xm2e5Gtn48R,"['bluegrass', 'modern southern rock', 'neo-traditional bluegrass', 'new americana']",0.586,0.657,0.0286,0.631,0.00833,0.512,134.358
12,"{'album_type': 'album', 'name': 'Goodbye Normal Street', 'release_date': '2012-05-08', 'total_tracks': 11, 'uri': 'spotify:album:0bbz2cwhC8oQtyli5tjaqP'}",Turnpike Troubadours,301000,0pghPocTwFg6ckBUs52SQ8,Good Lord Lorrie,65,1YSA4byX5AL1zoTsSTlB03,"['modern southern rock', 'red dirt']",0.555,0.649,0.0284,0.274,0.0,0.581,78.994
13,"{'album_type': 'single', 'name': 'Beer Never Broke My Heart', 'release_date': '2019-05-08', 'total_tracks': 1, 'uri': 'spotify:album:4NiEW0J6PCsvdxS2ocAqtd'}",Luke Combs,186800,5eDvChP4WAPPrtaQeI9MhT,Beer Never Broke My Heart,0,718COspgdWOnwOFpJHRZHS,"['contemporary country', 'country']",0.54,0.863,0.0481,0.0138,0.0,0.64,77.0
14,"{'album_type': 'album', 'name': 'The Wondering Kind', 'release_date': '2000-02-04', 'total_tracks': 13, 'uri': 'spotify:album:3JPVtJSTIFZUo8gqinTjtA'}",Neil Murray,273533,4GJorpNVRxPdnJs955Dysi,Good Light in Broome,43,0n9GlXRDsFC1OQutjpiw81,"['australian indigenous', 'bush ballad']",0.724,0.824,0.0676,0.269,7.46e-05,0.793,127.904
15,"{'album_type': 'album', 'name': 'Copperhead Road', 'release_date': '1988-01-01', 'total_tracks': 10, 'uri': 'spotify:album:2XHFLRzTwQMQL8hrGeQoMC'}",Steve Earle,270733,1HChuZvDKwcl76LvaGExeo,Copperhead Road,56,2UBTfUoLI07iRqGeUrwhZh,"['alternative country', 'classic texas country', 'country rock', 'folk', 'heartland rock', 'outlaw country', 'roots rock', 'singer-songwriter']",0.391,0.597,0.0406,0.0209,0.000102,0.693,156.096
16,"{'album_type': 'compilation', 'name': ""Songs From The South: Paul Kelly's Greatest Hits 1985-2019"", 'release_date': '2019-11-15', 'total_tracks': 43, 'uri': 'spotify:album:3LeZDyDDPmgUZpQgIfrB1a'}",Paul Kelly,204257,4Yzdv2SudI9WVn4xdwp3mA,Leaps And Bounds,32,0SNWoGaDlrCompmg9rXeNq,"['australian indigenous', 'australian rock']",0.492,0.846,0.0325,0.0346,0.00365,0.298,125.516
17,"{'album_type': 'album', 'name': 'Starting Over', 'release_date': '2020-11-13', 'total_tracks': 14, 'uri': 'spotify:album:0sOeI7pbAmIc8aDFyvkBUW'}",Chris Stapleton,213493,2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,84,4YLtscXsxbVgi031ovDDdh,"['contemporary country', 'outlaw country']",0.602,0.477,0.032,0.268,3.1e-05,0.552,183.89
18,"{'album_type': 'single', 'name': ""Never Comin' Home"", 'release_date': '2021-02-03', 'total_tracks': 1, 'uri': 'spotify:album:4GhGSIS6nha0XoeSQHRyq8'}",Bailey Zimmerman,194270,4hEA25qUMn3camHI87UhiI,Never Comin' Home,71,3win9vGIxFfBRag9S63wwf,['modern country pop'],0.556,0.59,0.029,0.25,0.0,0.573,143.972
19,"{'album_type': 'album', 'name': 'Green', 'release_date': '2017-04-13', 'total_tracks': 10, 'uri': 'spotify:album:0CMxHLevRj2JnccItXTYcA'}",Kody West,243240,2P38H0wA557qiDpZ09M2dn,Million Miles,61,0tiMRuAR7sxuiSmC6Mf4Ek,"['classic texas country', 'red dirt']",0.49,0.832,0.0352,0.00154,0.000453,0.407,142.001
20,"{'album_type': 'single', 'name': 'Lost', 'release_date': '2020-09-02', 'total_tracks': 1, 'uri': 'spotify:album:50zBAWv16sT8wmKa7kXXcP'}",Bryan Martin,199901,7dV8pNMbLCRF2UxESRSvQQ,Lost,13,0ChjBYedhZTQnWZWQYg15U,['modern country pop'],0.422,0.736,0.0373,0.118,0.00183,0.267,79.237
21,"{'album_type': 'album', 'name': 'The Writers Collection Volume One', 'release_date': '2017-04-21', 'total_tracks': 12, 'uri': 'spotify:album:2sMg0bLTdmmYLrBp378LG2'}",Matt Mason,228826,1XBGTp6OqwYaYhemH3aMKT,E,69,3l130bxGOP8cZMezRc13Xk,"['modern country pop', 'modern country rock']",0.657,0.736,0.0768,0.0817,0.0,0.379,113.96
22,"{'album_type': 'album', 'name': 'Deep South', 'release_date': '2017-03-10', 'total_tracks': 11, 'uri': 'spotify:album:4VRIpRxvAMvewEHzy2GCtc'}",Josh Turner,215080,5C6uh95eAL0RBTSGXKQwvk,Hometown Girl,67,7vCtweS8UVAXTyau2j0rDT,"['contemporary country', 'country', 'country road']",0.502,0.792,0.0335,0.304,0.0385,0.44,155.902
23,"{'album_type': 'single', 'name': 'Speakers, Bleachers And Preachers', 'release_date': '2017-07-07', 'total_tracks': 1, 'uri': 'spotify:album:4oEmOHztzoUXl0HiigGCFp'}",Brandon Lay,192920,5TMVx89wRJaep6rI111aqp,"Speakers, Bleachers And Preachers",56,0H7XMkYygCyZGg8o1uqoZv,"['contemporary country', 'country pop', 'modern country rock']",0.603,0.604,0.0273,0.321,0.0,0.641,96.07
24,"{'album_type': 'single', 'name': 'Wild Cue', 'release_date': '2022-04-08', 'total_tracks': 3, 'uri': 'spotify:album:2RkWdzFsNTu6IMjmcXI0to'}",Will Harrison,190293,24h9SZnpUaGwKIMzZDrFbu,Baptized and Buried,49,01vcSVQOpFHutiYq0lrBwt,[],0.676,0.428,0.0427,0.322,0.858,0.305,77.942
25,"{'album_type': 'album', 'name': 'GIRL', 'release_date': '2019-03-08', 'total_tracks': 16, 'uri': 'spotify:album:3XpxioqzCTiqOSuHTXuaGf'}",Maren Morris,197293,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,76,6WY7D3jk8zTrHtmkqqo5GI,"['classic texas country', 'contemporary country']",0.612,0.57,0.0347,0.278,0.0,0.334,77.004
26,"{'album_type': 'single', 'name': 'Joe', 'release_date': '2023-02-24', 'total_tracks': 1, 'uri': 'spotify:album:3SfvfIU7ttLjbdRuu3L9fI'}",Luke Combs,218533,5epEhWhXug9oAjJZVgIMVS,Joe,62,718COspgdWOnwOFpJHRZHS,"['contemporary country', 'country']",0.583,0.658,0.0296,0.0149,0.0,0.437,76.004
27,"{'album_type': 'album', 'name': 'Folksinger, Vol. 2', 'release_date': '2017-09-15', 'total_tracks': 11, 'uri': 'spotify:album:1bNtGD7H0PNHXgpBtG8yjL'}",Willie Watson,246146,3kzC56beZ1IoAuvhJkLgW2,Gallows Pole,39,5j9IEu1SEY0JslCPmfVsgq,"['alternative country', 'new americana', 'western americana']",0.318,0.153,0.0397,0.831,0.0263,0.324,188.243
28,"{'album_type': 'album', 'name': 'Waylon', 'release_date': '1970-01-01', 'total_tracks': 11, 'uri': 'spotify:album:3nHP4UZSgbW3dFdABgHagI'}",Waylon Jennings,172520,4LULo8Ihyu1a3WTDseVhpV,Don't Play The Game,22,7wCjDgV6nqBsHguQXPAaIM,"['classic texas country', 'country', 'outlaw country']",0.626,0.309,0.0257,0.69,4.21e-05,0.722,96.35
29,"{'album_type': 'album', 'name': 'Mama Tried/ Pride In What I Am', 'release_date': '2006-01-01', 'total_tracks': 29, 'uri': 'spotify:album:7LmhShcQUdQf0vbfa6VUPn'}",Merle Haggard,134453,6h3YJ05BovN1Pgk145J3r9,Mama Tried,63,2ptmyXoL7poH6Zq62h1QT9,"['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",0.738,0.538,0.0374,0.719,1.35e-05,0.81,97.487
30,"{'album_type': 'album', 'name': 'Lifers', 'release_date': '2018-07-27', 'total_tracks': 11, 'uri': 'spotify:album:7ATjaMdT66SKP2AjrDvQ1J'}",Cody Jinks,205333,6VChAU4QENeLwf3OaHBJxC,Must Be The Whiskey,70,2v7wIbCkIzxOfT3GnqCexD,"['classic texas country', 'modern southern rock', 'outlaw country']",0.546,0.786,0.0401,0.0915,8.67e-05,0.679,126.003
